date,provider_symbol,currency,open,high,low,close,adjusted_close,volume,isin
2021-03-26,CNDX.AS,EUR,614.2999877930,615.0000000000,607.7000122070,614.5999755859,614.5999755859,6968,IE00B53SZB19
2021-03-29,CNDX.AS,EUR,617.5999755859,621.5000000000,614.4000244141,617.5999755859,617.5999755859,6338,IE00B53SZB19
2021-03-30,CNDX.AS,EUR,620.5000000000,621.0999755859,615.5999755859,620.7999877930,620.7999877930,3629,IE00B53SZB19
2021-03-31,CNDX.AS,EUR,620.0999755859,630.7000122070,619.5000000000,630.2000122070,630.2000122070,5394,IE00B53SZB19
2021-04-01,CNDX.AS,EUR,633.7000122070,640.0000000000,633.7000122070,637.0000000000,637.0000000000,6726,IE00B53SZB19
2021-04-06,CNDX.AS,EUR,647.7999877930,650.0000000000,646.0000000000,649.0999755859,649.0999755859,2027,IE00B53SZB19
2021-04-07,CNDX.AS,EUR,646.0999755859,646.7000122070,641.5999755859,644.9000244141,644.9000244141,2283,IE00B53SZB19
2021-04-08,CNDX.AS,EUR,651.5000000000,653.4000244141,649.2999877930,650.7000122070,650.7000122070,1295,IE00B53SZB19
2021-04-09,CNDX.AS,EUR,651.2000122070,652.5000000000,649.0000000000,652.4000244141,652.4000244141,2263,IE00B53SZB19
2021-04-12,CNDX.AS,EUR,655.4000244141,656.7999877930,651.0000000000,652.7000122070,652.7000122070,2872,IE00B53SZB19
2021-04-13,CNDX.AS,EUR,654.7000122070,659.4000244141,654.2000122070,658.2000122070,658.2000122070,3384,IE00B53SZB19
2021-04-14,CNDX.AS,EUR,659.0000000000,662.0000000000,653.7999877930,653.7999877930,653.7999877930,2178,IE00B53SZB19
2021-04-15,CNDX.AS,EUR,652.7999877930,659.7000122070,652.7999877930,659.0999755859,659.0999755859,1158,IE00B53SZB19
2021-04-16,CNDX.AS,EUR,659.2000122070,661.7000122070,657.7000122070,659.2000122070,659.2000122070,4878,IE00B53SZB19
2021-04-19,CNDX.AS,EUR,660.9000244141,661.2999877930,650.5999755859,651.5000000000,651.5000000000,2466,IE00B53SZB19
2021-04-20,CNDX.AS,EUR,649.9000244141,651.9000244141,644.2000122070,644.2000122070,644.2000122070,4124,IE00B53SZB19
2021-04-21,CNDX.AS,EUR,646.2999877930,650.0000000000,644.9000244141,650.0000000000,650.0000000000,1097,IE00B53SZB19
2021-04-22,CNDX.AS,EUR,652.0000000000,654.4000244141,650.0000000000,654.0999755859,654.0999755859,2384,IE00B53SZB19
2021-04-23,CNDX.AS,EUR,644.7999877930,650.9000244141,643.7000122070,650.9000244141,650.9000244141,1405,IE00B53SZB19
2021-04-26,CNDX.AS,EUR,649.2000122070,653.5999755859,647.2000122070,653.0999755859,653.0999755859,1296,IE00B53SZB19
2021-04-27,CNDX.AS,EUR,655.9000244141,656.7999877930,650.0000000000,652.0999755859,652.0999755859,1977,IE00B53SZB19
2021-04-28,CNDX.AS,EUR,653.2000122070,653.2000122070,649.2000122070,649.2000122070,649.2000122070,3175,IE00B53SZB19
2021-04-29,CNDX.AS,EUR,652.0999755859,654.4000244141,647.5999755859,647.5999755859,647.5999755859,2111,IE00B53SZB19
2021-04-30,CNDX.AS,EUR,648.2000122070,651.9000244141,646.0000000000,651.2000122070,651.2000122070,3833,IE00B53SZB19
2021-05-03,CNDX.AS,EUR,651.0999755859,652.2000122070,644.2999877930,645.9000244141,645.9000244141,1823,IE00B53SZB19
2021-05-04,CNDX.AS,EUR,646.0000000000,646.7000122070,630.5000000000,631.0999755859,631.0999755859,4563,IE00B53SZB19
2021-05-05,CNDX.AS,EUR,637.2000122070,642.0999755859,637.2000122070,640.2999877930,640.2999877930,4900,IE00B53SZB19
2021-05-06,CNDX.AS,EUR,635.2999877930,636.7000122070,627.2000122070,633.0000000000,633.0000000000,3899,IE00B53SZB19
2021-05-07,CNDX.AS,EUR,637.2000122070,642.4000244141,635.5000000000,640.2999877930,640.2999877930,3516,IE00B53SZB19
2021-05-10,CNDX.AS,EUR,634.7000122070,635.7999877930,624.5999755859,625.9000244141,625.9000244141,7662,IE00B53SZB19
2021-05-11,CNDX.AS,EUR,616.5999755859,617.2999877930,606.0999755859,617.2999877930,617.2999877930,7109,IE00B53SZB19
2021-05-12,CNDX.AS,EUR,618.7999877930,619.7999877930,609.7999877930,610.0000000000,610.0000000000,4303,IE00B53SZB19
2021-05-13,CNDX.AS,EUR,607.4000244141,617.5999755859,604.0000000000,613.0999755859,613.0999755859,5489,IE00B53SZB19
2021-05-14,CNDX.AS,EUR,615.5000000000,620.2999877930,613.7999877930,620.2999877930,620.2999877930,4347,IE00B53SZB19
2021-05-17,CNDX.AS,EUR,621.5000000000,622.0000000000,616.0000000000,616.0000000000,616.0000000000,1228,IE00B53SZB19
2021-05-18,CNDX.AS,EUR,620.9000244141,621.2000122070,615.0000000000,617.2999877930,617.2999877930,4119,IE00B53SZB19
2021-05-19,CNDX.AS,EUR,604.9000244141,606.0000000000,599.0000000000,605.7999877930,605.7999877930,2547,IE00B53SZB19
2021-05-20,CNDX.AS,EUR,611.9000244141,622.5000000000,609.4000244141,622.5000000000,622.5000000000,2422,IE00B53SZB19
2021-05-21,CNDX.AS,EUR,623.5000000000,627.7000122070,622.5000000000,623.2999877930,623.2999877930,1383,IE00B53SZB19
2021-05-24,CNDX.AS,EUR,622.0000000000,630.7999877930,622.0000000000,630.7999877930,630.7999877930,2430,IE00B53SZB19
2021-05-25,CNDX.AS,EUR,632.0999755859,632.0999755859,627.9000244141,627.9000244141,627.9000244141,2836,IE00B53SZB19
2021-05-26,CNDX.AS,EUR,631.9000244141,633.2999877930,630.5000000000,632.5999755859,632.5999755859,2108,IE00B53SZB19
2021-05-27,CNDX.AS,EUR,631.9000244141,634.5999755859,630.0000000000,633.7999877930,633.7999877930,3243,IE00B53SZB19
2021-05-28,CNDX.AS,EUR,633.4000244141,637.0000000000,633.4000244141,635.4000244141,635.4000244141,2335,IE00B53SZB19
2021-05-31,CNDX.AS,EUR,634.0000000000,634.0000000000,630.7999877930,630.7999877930,630.7999877930,1530,IE00B53SZB19
2021-06-01,CNDX.AS,EUR,632.2000122070,634.7999877930,626.9000244141,629.2000122070,629.2000122070,2610,IE00B53SZB19
2021-06-02,CNDX.AS,EUR,630.4000244141,634.0000000000,629.9000244141,632.7000122070,632.7000122070,1243,IE00B53SZB19
2021-06-03,CNDX.AS,EUR,632.5999755859,632.7000122070,626.5000000000,630.2000122070,630.2000122070,3040,IE00B53SZB19
2021-06-04,CNDX.AS,EUR,630.0999755859,638.0000000000,629.9000244141,637.7999877930,637.7999877930,2703,IE00B53SZB19
2021-06-07,CNDX.AS,EUR,638.4000244141,638.4000244141,635.2000122070,635.2000122070,635.2000122070,1339,IE00B53SZB19
2021-06-08,CNDX.AS,EUR,639.7000122070,645.0000000000,637.2999877930,638.0000000000,638.0000000000,3807,IE00B53SZB19
2021-06-09,CNDX.AS,EUR,640.0000000000,642.0999755859,639.9000244141,640.9000244141,640.9000244141,1154,IE00B53SZB19
2021-06-10,CNDX.AS,EUR,640.2000122070,646.5000000000,637.2000122070,645.2000122070,645.2000122070,3416,IE00B53SZB19
2021-06-11,CNDX.AS,EUR,646.2999877930,651.7000122070,646.0999755859,651.2999877930,651.2999877930,2000,IE00B53SZB19
2021-06-14,CNDX.AS,EUR,654.0999755859,654.2000122070,650.0000000000,653.0000000000,653.0000000000,1264,IE00B53SZB19
2021-06-15,CNDX.AS,EUR,657.5999755859,659.2999877930,653.7000122070,653.7000122070,653.7000122070,1187,IE00B53SZB19
2021-06-16,CNDX.AS,EUR,653.7000122070,656.0000000000,653.0000000000,654.0999755859,654.0999755859,1169,IE00B53SZB19
2021-06-17,CNDX.AS,EUR,655.0000000000,671.7999877930,655.0000000000,671.7999877930,671.7999877930,2464,IE00B53SZB19
2021-06-18,CNDX.AS,EUR,673.4000244141,673.7999877930,667.7000122070,668.2000122070,668.2000122070,1187,IE00B53SZB19
2021-06-21,CNDX.AS,EUR,668.5000000000,670.4000244141,662.0000000000,668.4000244141,668.4000244141,3682,IE00B53SZB19
2021-06-22,CNDX.AS,EUR,669.7999877930,674.0000000000,667.2000122070,674.0000000000,674.0000000000,2090,IE00B53SZB19
2021-06-23,CNDX.AS,EUR,677.0000000000,677.0000000000,673.7000122070,674.0999755859,674.0999755859,1534,IE00B53SZB19
2021-06-24,CNDX.AS,EUR,676.5999755859,682.0000000000,676.5999755859,681.2999877930,681.2999877930,2056,IE00B53SZB19
2021-06-25,CNDX.AS,EUR,678.7000122070,680.4000244141,675.9000244141,678.7999877930,678.7999877930,2204,IE00B53SZB19
2021-06-28,CNDX.AS,EUR,678.9000244141,685.2999877930,678.7000122070,684.9000244141,684.9000244141,1767,IE00B53SZB19
2021-06-29,CNDX.AS,EUR,686.0999755859,690.0000000000,686.0999755859,688.0999755859,688.0999755859,1043,IE00B53SZB19
2021-06-30,CNDX.AS,EUR,691.7000122070,693.4000244141,690.0000000000,692.7999877930,692.7999877930,1645,IE00B53SZB19
2021-07-01,CNDX.AS,EUR,693.0999755859,695.4000244141,689.9000244141,690.4000244141,690.4000244141,2479,IE00B53SZB19
2021-07-02,CNDX.AS,EUR,693.5999755859,699.7999877930,693.5999755859,697.7000122070,697.7000122070,1120,IE00B53SZB19
2021-07-05,CNDX.AS,EUR,699.4000244141,700.0000000000,698.4000244141,699.2999877930,699.2999877930,1799,IE00B53SZB19
2021-07-06,CNDX.AS,EUR,697.5000000000,704.9000244141,697.0000000000,703.5000000000,703.5000000000,554,IE00B53SZB19
2021-07-07,CNDX.AS,EUR,706.5999755859,711.0000000000,705.5999755859,706.0000000000,706.0000000000,3927,IE00B53SZB19
2021-07-08,CNDX.AS,EUR,706.2000122070,706.2000122070,694.0000000000,697.7999877930,697.7999877930,3141,IE00B53SZB19
2021-07-09,CNDX.AS,EUR,702.2999877930,704.4000244141,698.0000000000,704.4000244141,704.4000244141,2379,IE00B53SZB19
2021-07-12,CNDX.AS,EUR,705.5999755859,708.9000244141,702.9000244141,706.2000122070,706.2000122070,1868,IE00B53SZB19
2021-07-13,CNDX.AS,EUR,707.5999755859,716.4000244141,707.4000244141,716.4000244141,716.4000244141,4319,IE00B53SZB19
